Driver,Team,Year,Race,SessionType,LapNumber,Stint,Compound,TyreLife,CumulativeTireWear,LapTime_sec,TrackStatus,Position,IsPersonalBest,FuelEffectProxy,LapProgress,AvgSectorTime,Speed_mean,Speed_max,Throttle_mean,Brake_mean,DRS_activations,Gear_mean,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
VER,Red Bull Racing,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,99.019,12,1.0,False,0.9824561403508771,0.017543859649122806,33.128,185.07105263157894,287.0,59.876315789473686,0.2026315789473684,380,4.602631578947369,27.3,31.1,22.0,1016.7,False,208,0.0
LEC,Ferrari,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,100.23,12,2.0,False,0.9824561403508771,0.017543859649122806,33.335499999999996,184.59635416666666,290.0,64.20833333333333,0.2265625,384,4.5625,27.3,31.1,22.0,1016.7,False,208,0.0
PER,Red Bull Racing,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,101.063,12,3.0,False,0.9824561403508771,0.017543859649122806,33.6425,182.3479381443299,293.0,58.05927835051546,0.22422680412371135,388,4.293814432989691,27.3,31.1,22.0,1016.7,False,208,0.0
SAI,Ferrari,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,101.659,12,4.0,False,0.9824561403508771,0.017543859649122806,33.7995,181.82262210796915,293.0,61.339331619537276,0.2185089974293059,389,4.586118251928021,27.3,31.1,22.0,1016.7,False,208,0.0
HAM,Mercedes,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,102.288,12,5.0,False,0.9824561403508771,0.017543859649122806,33.916,180.6887755102041,299.0,62.88520408163265,0.22704081632653061,392,4.7729591836734695,27.3,31.1,22.0,1016.7,False,208,0.0
RUS,Mercedes,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,102.662,12,6.0,False,0.9824561403508771,0.017543859649122806,33.7725,179.93129770992365,300.0,61.89058524173028,0.21882951653944022,393,4.559796437659033,27.3,31.1,22.0,1016.7,False,208,0.0
ALO,Aston Martin,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,103.608,12,7.0,False,0.9824561403508771,0.017543859649122806,34.2225,176.760101010101,284.0,61.33838383838384,0.20707070707070707,396,4.540404040404041,27.3,31.1,22.0,1016.7,False,208,0.0
BOT,Alfa Romeo,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,104.154,12,8.0,False,0.9824561403508771,0.017543859649122806,34.165,177.39698492462313,284.0,61.72613065326633,0.27638190954773867,398,4.577889447236181,27.3,31.1,22.0,1016.7,False,208,0.0
STR,Aston Martin,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,104.67,12,9.0,False,0.9824561403508771,0.017543859649122806,34.376000000000005,175.1825,290.0,58.59,0.255,400,4.5375,27.3,31.1,22.0,1016.7,False,208,0.0
NOR,McLaren,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,105.364,12,10.0,False,0.9824561403508771,0.017543859649122806,34.675,176.0498753117207,293.0,57.69576059850374,0.24438902743142144,401,4.12219451371571,27.3,31.1,22.0,1016.7,False,208,0.0
OCO,Alpine,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,105.967,12,11.0,False,0.9824561403508771,0.017543859649122806,34.9555,172.41687344913151,289.0,58.267990074441684,0.24317617866004962,403,4.188585607940446,27.3,31.1,22.0,1016.7,False,208,0.0
ALB,Williams,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,106.453,12,12.0,False,0.9824561403508771,0.017543859649122806,35.1165,173.6138613861386,301.0,52.30940594059406,0.2698019801980198,404,4.554455445544554,27.3,31.1,22.0,1016.7,False,208,0.0
SAR,Williams,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,106.855,12,13.0,False,0.9824561403508771,0.017543859649122806,35.018,174.0615763546798,299.0,55.004926108374384,0.26354679802955666,406,4.554187192118227,27.3,31.1,22.0,1016.7,False,208,0.0
HUL,Haas F1 Team,2023,Bahrain,R,1,1.0,SOFT,4.0,16.0,107.339,12,14.0,False,0.9824561403508771,0.017543859649122806,35.332499999999996,169.72549019607843,292.0,54.490196078431374,0.25980392156862747,408,4.301470588235294,27.3,31.1,22.0,1016.7,False,208,0.0
TSU,AlphaTauri,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,107.791,12,15.0,False,0.9824561403508771,0.017543859649122806,35.4045,171.56829268292682,296.0,57.107317073170734,0.25365853658536586,410,3.973170731707317,27.3,31.1,22.0,1016.7,False,208,0.0
PIA,McLaren,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,108.214,12,16.0,False,0.9824561403508771,0.017543859649122806,35.3675,172.8373786407767,295.0,55.53883495145631,0.25485436893203883,412,4.148058252427185,27.3,31.1,22.0,1016.7,False,208,0.0
ZHO,Alfa Romeo,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,108.467,12,17.0,False,0.9824561403508771,0.017543859649122806,35.354,172.1283292978208,287.0,57.49636803874092,0.23728813559322035,413,4.450363196125908,27.3,31.1,22.0,1016.7,False,208,0.0
MAG,Haas F1 Team,2023,Bahrain,R,1,1.0,HARD,1.0,1.0,109.33,12,18.0,False,0.9824561403508771,0.017543859649122806,35.9505,171.06474820143885,288.0,56.21582733812949,0.2709832134292566,417,4.26378896882494,27.3,31.1,22.0,1016.7,False,208,0.0
GAS,Alpine,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,109.649,12,19.0,False,0.9824561403508771,0.017543859649122806,35.9575,171.1670644391408,286.0,55.236276849642,0.2529832935560859,419,4.05727923627685,27.3,31.1,22.0,1016.7,False,208,0.0
DEV,AlphaTauri,2023,Bahrain,R,1,1.0,SOFT,1.0,1.0,109.959,12,20.0,False,0.9824561403508771,0.017543859649122806,36.007,171.09285714285716,296.0,53.64523809523809,0.30952380952380953,420,4.169047619047619,27.3,31.1,22.0,1016.7,False,208,0.0
VER,Red Bull Racing,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,97.974,12,1.0,True,0.9649122807017544,0.03508771929824561,32.658,195.4077134986226,298.0,60.225895316804404,0.20385674931129477,363,5.115702479338843,27.3,31.1,22.0,1016.9,False,197,0.6
LEC,Ferrari,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,98.75,21,2.0,True,0.9649122807017544,0.03508771929824561,32.916666666666664,195.8991825613079,306.0,62.47138964577657,0.22070844686648503,367,4.961852861035422,27.3,31.1,22.0,1016.9,False,197,0.6
PER,Red Bull Racing,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,98.862,21,3.0,True,0.9649122807017544,0.03508771929824561,32.954,196.0899182561308,304.0,57.356948228882835,0.21798365122615804,369,4.869209809264305,27.3,31.1,22.0,1016.9,False,197,0.6
SAI,Ferrari,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,98.933,21,4.0,True,0.9649122807017544,0.03508771929824561,32.97766666666667,195.57065217391303,310.0,62.39945652173913,0.22010869565217392,368,5.084239130434782,27.3,31.1,22.0,1016.9,False,197,0.6
HAM,Mercedes,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,99.166,21,5.0,True,0.9649122807017544,0.03508771929824561,33.05533333333333,195.9756756756757,312.0,64.37837837837837,0.21891891891891893,369,5.389189189189189,27.3,31.1,22.0,1016.9,False,197,0.6
RUS,Mercedes,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,99.59,21,6.0,True,0.9649122807017544,0.03508771929824561,33.196666666666665,195.5956873315364,311.0,61.84905660377358,0.23180592991913745,371,5.126684636118599,27.3,31.1,22.0,1016.9,False,197,0.6
ALO,Aston Martin,2023,Bahrain,R,2,1.0,SOFT,5.0,25.0,99.792,21,7.0,True,0.9649122807017544,0.03508771929824561,33.264,194.20375335120644,301.0,61.76407506702413,0.1876675603217158,373,5.096514745308311,27.3,31.1,22.0,1016.9,False,197,0.6
BOT,Alfa Romeo,2023,Bahrain,R,2,1.0,SOFT,2.0,4.0,99.956,21,8.0,True,0.9649122807017544,0.03508771929824561,33.318666666666665,193.9625668449198,299.0,65.31818181818181,0.23796791443850268,374,5.179144385026738,27.3,31.1,22.0,1016.9,False,197,0.6
