Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime_sec,TrackStatus,AirTemp,TrackTemp,IsPersonalBest
VER,Red Bull Racing,1.0,1.0,SOFT,4.0,99.019,12,27.3,31.1,False
LEC,Ferrari,1.0,1.0,SOFT,1.0,100.23,12,27.3,31.1,False
PER,Red Bull Racing,1.0,1.0,SOFT,4.0,101.063,12,27.3,31.1,False
SAI,Ferrari,1.0,1.0,SOFT,4.0,101.659,12,27.3,31.1,False
HAM,Mercedes,1.0,1.0,SOFT,4.0,102.288,12,27.3,31.1,False
RUS,Mercedes,1.0,1.0,SOFT,4.0,102.662,12,27.3,31.1,False
ALO,Aston Martin,1.0,1.0,SOFT,4.0,103.608,12,27.3,31.1,False
BOT,Alfa Romeo,1.0,1.0,SOFT,1.0,104.154,12,27.3,31.1,False
STR,Aston Martin,1.0,1.0,SOFT,4.0,104.67,12,27.3,31.1,False
NOR,McLaren,1.0,1.0,SOFT,1.0,105.364,12,27.3,31.1,False
OCO,Alpine,1.0,1.0,SOFT,4.0,105.967,12,27.3,31.1,False
ALB,Williams,1.0,1.0,SOFT,1.0,106.453,12,27.3,31.1,False
SAR,Williams,1.0,1.0,SOFT,1.0,106.855,12,27.3,31.1,False
HUL,Haas F1 Team,1.0,1.0,SOFT,4.0,107.339,12,27.3,31.1,False
TSU,AlphaTauri,1.0,1.0,SOFT,1.0,107.791,12,27.3,31.1,False
PIA,McLaren,1.0,1.0,SOFT,1.0,108.214,12,27.3,31.1,False
ZHO,Alfa Romeo,1.0,1.0,SOFT,1.0,108.467,12,27.3,31.1,False
MAG,Haas F1 Team,1.0,1.0,HARD,1.0,109.33,12,27.3,31.1,False
GAS,Alpine,1.0,1.0,SOFT,1.0,109.649,12,27.3,31.1,False
DEV,AlphaTauri,1.0,1.0,SOFT,1.0,109.959,12,27.3,31.1,False
VER,Red Bull Racing,2.0,1.0,SOFT,5.0,97.974,12,27.3,31.1,True
LEC,Ferrari,2.0,1.0,SOFT,2.0,98.75,21,27.3,31.1,True
PER,Red Bull Racing,2.0,1.0,SOFT,5.0,98.862,21,27.3,31.1,True
SAI,Ferrari,2.0,1.0,SOFT,5.0,98.933,21,27.3,31.1,True
HAM,Mercedes,2.0,1.0,SOFT,5.0,99.166,21,27.3,31.1,True
RUS,Mercedes,2.0,1.0,SOFT,5.0,99.59,21,27.3,31.1,True
ALO,Aston Martin,2.0,1.0,SOFT,5.0,99.792,21,27.3,31.1,True
BOT,Alfa Romeo,2.0,1.0,SOFT,2.0,99.956,21,27.3,31.1,True
STR,Aston Martin,2.0,1.0,SOFT,5.0,99.892,21,27.3,31.1,True
NOR,McLaren,2.0,1.0,SOFT,2.0,100.433,21,27.3,31.1,True
